"","mean","hpdi_l","hpdi_u","age"
"PopDens[62]",4.07858385047566,0.776978417266187,8.00063246106412,4900
"PopDens[63]",4.19041776327509,0.869633963159143,8.07573721242786,4850
"PopDens[64]",4.37160036440298,0.85666851134477,8.54676258992806,4800
"PopDens[65]",4.68450141273355,0.960075895327694,9.05526128547711,4750
"PopDens[66]",5.14596362929876,1.11819116135663,10.0523361530556,4700
"PopDens[67]",4.63327568529792,1.04751363744169,8.82283184441458,4650
"PopDens[68]",3.64320150191056,0.828207763459562,6.89461617519171,4600
"PopDens[69]",3.25293956526208,0.777927108862361,6.1060162858724,4550
"PopDens[70]",3.14219010203705,0.708672622341687,5.94576646375207,4500
"PopDens[71]",3.11463262049701,0.750415052573326,5.83840619811843,4450
"PopDens[72]",2.70554639808153,0.627559490868843,5.16768123962369,4400
"PopDens[73]",2.46131936527262,0.591351094948217,4.64882599414974,4350
"PopDens[74]",2.58332742883495,0.610957387935805,4.88489208633094,4300
"PopDens[75]",2.6490679668485,0.63246106411574,5.01620681476797,4250
"PopDens[76]",2.76541640830632,0.635307138904261,5.2874535536406,4200
"PopDens[77]",2.5748666825836,0.553403431101273,5.03597122302158,4150
"PopDens[78]",2.89643506495902,0.523519645821804,5.85453395525338,4100
"PopDens[79]",2.76137409199673,0.512135346667721,5.55696102458692,4050
"PopDens[80]",2.45806510604264,0.519882994703139,4.81128942999447,4000
"PopDens[81]",2.51860044583234,0.584394023242944,4.83121195351411,3950
"PopDens[82]",3.04421630434553,0.723377342082378,5.82338524784568,3900
"PopDens[83]",3.35512796798166,0.916277966637679,6.17693098268638,3850
"PopDens[84]",3.37976728903471,1.03399478219622,6.06838485255751,3800
"PopDens[85]",3.93231905960946,1.0945529290853,7.30990592141671,3750
"PopDens[86]",4.10575713023427,1.35141117874931,7.19440271958258,3700
"PopDens[87]",4.22040659422352,1.51276780773184,7.21124199541466,3650
"PopDens[88]",4.45090495253907,1.68938255988616,7.52802593090363,3600
"PopDens[89]",4.65543185951459,1.81010356549925,7.82322713257965,3550
"PopDens[90]",5.59518872253406,2.64329195983872,8.81587477270931,3500
"PopDens[91]",5.61993804590613,2.67151553482489,8.81808838643371,3450
"PopDens[92]",5.23959363733629,2.61459403905447,8.07526286662977,3400
"PopDens[93]",5.67892117880201,3.01683927583208,8.50691754288877,3350
"PopDens[94]",5.82484942517195,3.15005138746146,8.64850976361768,3300
"PopDens[95]",6.6310183666166,4.16032887975334,9.22151948770654,3250
"PopDens[96]",6.2082172817087,4.07913669064748,8.46485888212507,3200
"PopDens[97]",5.97181816443988,4.16728595145861,7.85279468732706,3150
"PopDens[98]",5.51521537046407,4.06735710332833,7.01272827891533,3100
"PopDens[99]",4.90075301683928,3.91240414261997,5.87461459403905,3050
