"","mean","hpdi_l","hpdi_u","age"
"PopDens[41]",2.26366210229618,0.813977389516958,3.88584077792711,5950
"PopDens[42]",2.11506167121248,0.842200964503123,3.50778717685193,5900
"PopDens[43]",2.12314155946671,0.853822436556249,3.48644161593802,5850
"PopDens[44]",2.54166094794494,1.00679895643924,4.25013835085778,5800
"PopDens[45]",2.50115430906923,1.0174717368962,4.11360581864179,5750
"PopDens[46]",2.53360267146722,0.951537670962131,4.26990275911139,5700
"PopDens[47]",2.92094016508771,1.16523045300024,4.84235907976915,5650
"PopDens[48]",2.67528042090503,1.07249584947427,4.43655624950589,5600
"PopDens[49]",2.40498587951617,0.834058028302633,4.15289746224998,5550
"PopDens[50]",2.2094819366924,0.87153134635149,3.66574432761483,5500
"PopDens[51]",2.19391187440158,0.756423432682426,3.825124515772,5450
"PopDens[52]",2.59586444800204,0.703929164360819,4.8879753340185,5400
"PopDens[53]",2.98539980067594,0.861411969325638,5.49861649142225,5350
"PopDens[54]",2.30409435744811,0.689461617519171,4.18183255593328,5300
"PopDens[55]",1.96789629284485,0.693414499169895,3.4163965530872,5250
"PopDens[56]",2.14455503453281,0.725749071072812,3.77531820697288,5200
"PopDens[57]",2.21497040336961,0.739900387382402,3.89358842596253,5150
"PopDens[58]",2.73748288219973,0.916436081903708,4.73207368171397,5100
"PopDens[59]",2.92915955905605,0.981895802039687,5.13574195588584,5050
"PopDens[60]",3.18718570138395,1.12182781247529,5.52138508973041,5000
"PopDens[61]",3.74336788367109,1.49814214562416,6.22231006403668,4950
"PopDens[62]",3.65678873641746,1.38651276780773,6.24239070282236,4900
"PopDens[63]",3.78703882853058,1.56676417108072,6.21424618546921,4850
"PopDens[64]",3.92210583171924,1.48992015179066,6.66969720926555,4800
"PopDens[65]",4.2227181682017,1.68487627480433,7.04403510158906,4750
"PopDens[66]",4.7569795699155,1.91232508498696,7.91604079373864,4700
"PopDens[67]",4.25509573058037,1.84994861253854,6.84639101905289,4650
"PopDens[68]",3.29555074464604,1.42944106253459,5.29512214404301,4600
"PopDens[69]",2.94746845048137,1.32342477666219,4.66123804253301,4550
"PopDens[70]",2.82536143367723,1.17732627085145,4.60044272274488,4500
"PopDens[71]",2.80630956520498,1.23725195667642,4.49972329828445,4450
"PopDens[72]",2.41408904209599,0.967349197565025,4.03597122302158,4400
"PopDens[73]",2.19973166976309,0.920863309352518,3.63404221677603,4350
"PopDens[74]",2.30695626130963,0.942366985532453,3.85318997549213,4300
"PopDens[75]",2.36534052378976,0.957862281603289,3.98474187682821,4250
"PopDens[76]",2.46273400278678,0.92497430626927,4.23630326508024,4200
"PopDens[77]",2.28152827788319,0.770337576092972,4.09518539014942,4150
"PopDens[78]",2.55041417439675,0.708356391809629,4.85271562969405,4100
"PopDens[79]",2.43422826817667,0.678314491264132,4.61775634437505,4050
"PopDens[80]",2.17834960271343,0.690647482014389,3.98007747648035,4000
"PopDens[81]",2.24256395058678,0.781089414182939,4.00268795952249,3950
"PopDens[82]",2.71974033513848,0.959601549529607,4.8699501936912,3900
"PopDens[83]",3.02756560643793,1.23329907502569,5.12688750098822,3850
"PopDens[84]",3.07177613387312,1.38224365562495,5.01668116056605,3800
"PopDens[85]",3.55099308381866,1.3803462724326,6.18309747806151,3750
"PopDens[86]",3.76566057267373,1.77405328484465,6.01660210293304,3700
"PopDens[87]",3.9252149068218,1.99161989090047,6.02545655783066,3650
"PopDens[88]",4.1729285815194,2.17803778954858,6.306032097399,3600
