"","X","labnr","bp","std","site","lat","lng","db_source"
"36107",39085,"LJ-1808",4077,70,"Auvernier, La Saunerie",46.9755,6.879,"XRONOS"
"36108",39086,"B-2557",4360,110,"Auvernier, La Saunerie",46.9755,6.879,"XRONOS"
"36109",39087,"B-2558",4390,70,"Auvernier, La Saunerie",46.9755,6.879,"XRONOS"
"36110",39088,"B-2559",5130,120,"Auvernier, La Saunerie",46.9755,6.879,"XRONOS"
"36111",39089,"B-2560",5100,80,"Auvernier, La Saunerie",46.9755,6.879,"XRONOS"
"36112",39090,"B-2561",4980,110,"Auvernier, La Saunerie",46.9755,6.879,"XRONOS"
"36113",39091,"B-3275",4500,50,"Auvernier, La Saunerie",46.9755,6.879,"XRONOS"
"36114",39092,"ETH-23894",4260,55,"Baar - Früebergstrasse",47.2048,8.5245,"XRONOS"
"36115",39093,"ETH-23895",4125,60,"Baar - Früebergstrasse",47.2048,8.5245,"XRONOS"
"36119",39097,"B-3395",3835,60,"Bavois-en Raillon",46.684,6.5659,"XRONOS"
"36120",39098,"B-3612",3560,100,"Bavois - En Raillon",46.6856,6.5654,"XRONOS"
"36121",39099,"B-3613",3630,60,"Bavois - En Raillon",46.6856,6.5654,"XRONOS"
"36122",39100,"B-3616",3560,100,"Bavois-en Raillon VD",46.6861,6.5651,"XRONOS"
"36127",39105,"B-234",5350,120,"Birsmatten, Basisgrotte",47.445,7.55,"XRONOS"
"36128",39106,"B-235",5310,240,"Birsmatten, Basisgrotte",47.445,7.55,"XRONOS"
"36129",39107,"B-236",6970,120,"Birsmatten, Basisgrotte",47.445,7.55,"XRONOS"
"36130",39108,"B-237",7670,120,"Birsmatten, Basisgrotte",47.445,7.55,"XRONOS"
"36131",39109,"B-238",7460,160,"Birsmatten, Basisgrotte",47.445,7.55,"XRONOS"
"36132",39110,"B-240",7200,600,"Birsmatten, Basisgrotte",47.445,7.55,"XRONOS"
"36133",39111,"B-241",7480,200,"Birsmatten, Basisgrotte",47.445,7.55,"XRONOS"
"36138",39116,"ETH-20508",5290,60,"Cham - Eslen",47.1778,8.4604,"XRONOS"
"36139",39117,"Ua-12919",5300,80,"Cham - Eslen",47.1778,8.4604,"XRONOS"
"36140",39118,"Ua-14882",5410,90,"Cham - Eslen",47.1778,8.4604,"XRONOS"
"36141",39119,"UZ-1833",5305,70,"Cham - Eslen",47.1778,8.4604,"XRONOS"
"36142",39120,"UZ-1834",5395,70,"Cham - Eslen",47.1778,8.4604,"XRONOS"
"36143",39121,"UZ-1835",5345,70,"Cham - Eslen",47.1778,8.4604,"XRONOS"
"36169",39147,"B-4112",5690,80,"Delley-Portalban",46.9125,6.962,"XRONOS"
"36170",39148,"B-4113",4320,50,"Delley-Portalban",46.9125,6.962,"XRONOS"
"36171",39149,"B-4114",4290,50,"Delley-Portalban",46.9125,6.962,"XRONOS"
"36172",39150,"B-4115",4340,60,"Delley-Portalban",46.9125,6.962,"XRONOS"
