,ID_site,ID_external,state,federal_state,community,cadastral_section,site_type_1,site_type_2,dat_type,chrono_very_rough,chrono_rough,chrono_complex,LV03_Hochwert_fuzzy,LV03_Rechtswert_fuzzy
4084,4346,,CH,Vaud,Châtonnaye,Le Ressat,single find,stray findings (>1),typological,bronze age,LBA,,179734,559849
4085,4347,,CH,Fribourg,Chavannes-les-Forts,La Pierre,single find,single find STONE AXE,typological,neolithic,,,167765,559244
4086,4348,,CH,Fribourg,Chavannes-sous-Orsonnens,Rute de Chénens,single find,stray findings (>1),typological,bronze age,,,175574,565868
4087,4349,,CH,Fribourg,Corbières,undef.,burial place,NA,typological,bronze age,,,168231,575017
4088,4350,,CH,Fribourg,Cordast,Holzmattenacher,single find,single find STONE AXE,typological,neolithic,,,191184,577724
4089,4351,,CH,Fribourg,Cordast,Raspenholz,single find,single find,typological,neolithic,,,191652,578441
4090,4352,,CH,Fribourg,Cordast,undef.,single find,single find STONE AXE,typological,neolithic,,,191864,579057
4091,4353,,CH,Fribourg,Cormagens,Bois de Saint-Théodule,single find,single find STONE AXE,typological,neolithic,,,187660,578093
4092,4354,,CH,Fribourg,Cormagene,Bois de Saint-Théodule,single find,single find,typological,neolithic,,,187549,578015
4093,4355,,CH,Fribourg,Cormagens,Les Moulines,single find,single find STONE AXE,typological,neolithic,,,188478,578192
4094,4356,,CH,Fribourg,Corminbouef,Es Bons Pâquiers,single find,single find,typological,bronze age,MBA,,185427,575587
4095,4357,,CH,Fribourg,Corpataux,Montoliet,single find,stray findings (>1),typological,bronze age,,,177684,574703
4096,4358,,CH,Fribourg,Cottens,En Bouleyers,settlement,settlement mineral soil,typological,bronze age,LBA,,178755,569145
4097,4359,,CH,Fribourg,Cournillens,Pré Seigneu,single find,stray findings (>1),typological,neolithic,,,190309,575498
4098,4360,,CH,Fribourg,Cournillens,A la Combettaz,single find,single find STONE AXE,typological,neolithic,,,189058,575166
4099,4361,,CH,Fribourg,Cournillens,Praly,single find,single find STONE AXE,typological,neolithic,,,190809,575299
4100,4362,,CH,Fribourg,Cournillens,Bois-du-Pont,single find,single find,typological,neolithic,,,191065,574994
4101,4363,,CH,Fribourg,Cressier,Praz Rond,settlement,settlement mineral soil,typological,bronze age,MBA,,194811,578921
4102,4364,,CH,Fribourg,Domdidier,Kücher [unleserlich],single find,stray findings (>1),typological,bronze age,,,191512,576867
4103,4365,,CH,Fribourg,Dompierre,Au Village,single find,single find,typological,bronze age,,,189435,566647
